作者,作者身分,"標題	",年份,來源出版物名稱,卷,期,論文編號,起始頁碼,結束頁碼,頁碼計數,被引用文獻,DOI,連結,摘要,作者關鍵字,索引關鍵字,通訊地址,原始文獻語言,文獻類型,出版階段,開放取用,來源出版物,EID
"Tsai R.-G., Tsai Y.-Y., Tsai P.-H.",55616405200;57221617355;16508092400;,Automation Tool for Home Fire Safety Check,2021,IEEE Sensors Letters,5,12,,,,,1,10.1109/LSENS.2021.3124800,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118667300&doi=10.1109%2fLSENS.2021.3124800&partnerID=40&md5=52af250293dbeb2a6117d8a54ce5d71f,"Fire simulation tools have been developed for the inspection of environmental safety. However, they have not been extensively exploited for home use. One critical reason for this is that building the environmental model relies highly on manual operations. In this letter, image sensors are adopted to automatically build an environmental model and reduce the labor burden of exploiting fire simulation tools for a fire safety check. To increase the accuracy of an environmental model, our automation extracts the essential features affecting fires from images using recognition models and the proposed approaches. Our automation converts the environmental data into an FDS6 syntax. The experimental results reveal the feasibility of our automation. Compared to a manual operation, our approach not only reduces the labor burden but also the inconsistent environmental model owing to a manual operation as well. ? 2017 IEEE.",automation system; digital twin; environmental inspection; fire simulator; image processing; Sensor applications,Automation; Fires; Automation systems; Environmental inspection; Environmental model; Fire safety; Fire simulators; Images processing; Labor burden; Manual operations; Safety check; Size measurements; Image processing,"Tsai, Y.-Y.; Institute of Manufacturing Information and Systems, Taiwan; 電子郵件: p96074163@gs.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85118667300
"Wang H.-K., M?nch L.",56119444900;6602003174;,"A matheuristic for making order acceptance decisions in multi-product, multi-stage manufacturing systems",2021,Applied Soft Computing,111,,107640,,,,,10.1016/j.asoc.2021.107640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110131249&doi=10.1016%2fj.asoc.2021.107640&partnerID=40&md5=fc421a98070f84ae73ca8385d4cd895f,"We discuss a planning model with load-dependent lead times for making order acceptance decisions in multi-product, multi-stage manufacturing systems. Semiconductor wafer fabrication facilities (wafer fabs) belong to this class of manufacturing systems. A profit-based objective function is considered. Clearing functions are used in the planning formulation to correctly represent the lead time behavior in the case of a congested system. Order acceptance decisions are made with respect to flexible due dates, i.e., it is possible to reject certain orders if there is not enough capacity. Such acceptance decisions are important, for instance, in short-term demand supply matching algorithms that are crucial for demand fulfillment and available to promise decisions in semiconductor manufacturing. The resulting planning problem is formulated as a mixed integer linear program. We first show that the resulting planning problem is NP-hard. Hence, computationally tractable approaches must be designed. Therefore, variable neighborhood search is hybridized with linear programming to solve large-sized problem instances in reasonable amount of computing time in the present paper. Results of computational experiments for problem instances that are derived from a scaled-down wafer fab simulation model are provided and analyzed. The computational results demonstrate that the proposed matheuristic outperforms time-based decomposition approaches from the literature. ? 2021 Elsevier B.V.",Clearing functions; Matheuristics; Order acceptance; Planning; Semiconductor manufacturing,NP-hard; Semiconductor device manufacture; Silicon wafers; Stages; Computational experiment; Decomposition approach; Mixed integer linear program; Multi-stage manufacturing systems; Semiconductor manufacturing; Semiconductor wafer fabrication; Variable neighborhood search; Wafer fab simulation model; Integer programming,"M?nch, L.; Department of Mathematics and Computer Science, Germany; 電子郵件: Lars.Moench@fernuni-hagen.de",English,Article,Final,,Scopus,2-s2.0-85110131249
"Yeh C.-S., Chen S.-L., Li I.-C.",57223364926;7410253186;57193415872;,Implementation of MQTT protocol based network architecture for smart factory,2021,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",235,13,,2132,2142,,1,10.1177/09544054211014488,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105707476&doi=10.1177%2f09544054211014488&partnerID=40&md5=302ef3ce0b3a1525d07bab79c7148507,"The core concept of smart manufacturing is based on digitization to construct intelligent production and management in the manufacturing process. By digitizing the production process and connecting all levels from product design to service, the purpose of improving manufacturing efficiency, reducing production cost, enhancing product quality, and optimizing user experience can be achieved. To digitize the manufacturing process, IoT technology will have to be introduced into the manufacturing process to collect and analyze process information. However, one of the most important problems in building the industrial IoT (IIoT) environment is that different industrial network protocols are used for different equipment in factories. Therefore, the information in the manufacturing process may not be easily exchanged and obtained. To solve the above problem, a smart factory network architecture based on MQTT (MQ Telemetry Transport), IoT communication protocol, is proposed in this study, to construct a heterogeneous interface communication bridge between the machine tool, embedded device Raspberry Pi, and website. Finally, the system architecture is implemented and imported into the factory, and a smart manufacturing information management system is developed. The edge computing module is set up beside a three-axis machine tool, and a human-machine interface is built for the user controlling and monitoring. Users can also monitor the system through the dynamically updating website at any time and any place. The function of real-time gesture recognition based on image technology is developed and built on the edge computing module. The gesture recognition results can be transmitted to the machine controller through MQTT, and the machine will execute the corresponding action according to different gestures to achieve human-robot collaboration. The MQTT transmission architecture developed here is validated by the given edge computing application. It can serve as the basis for the construction of the IIoT environment, assist the traditional manufacturing industry to prepare for digitization, and accelerate the practice of smart manufacturing. ? IMechE 2021.",edge computing; IIoT; Industrial internet of things; MQTT; smart factory,Computer architecture; Edge computing; Flow control; Gesture recognition; Industrial internet of things (IIoT); Information management; Internet protocols; Machine tools; Manufacture; Product design; Social robots; User experience; Websites; Computing applications; Heterogeneous interfaces; Human Machine Interface; Human-robot collaboration; Manufacturing efficiency; Manufacturing process; Real time gesture recognition; Traditional manufacturing; Network architecture,"Chen, S.-L.; Institute of Manufacturing Information and Systems, Taiwan; 電子郵件: slchen@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85105707476
"Chen S.-L., Lee K.-M., Huang Y.-H., Lu Y.-T., Lin Y.-F., Huang H.-C.",7410253186;57222747651;57381495800;57191664522;36834163100;57222741236;,PCD Milling Cutter Remaining Useful Life Prediction for Titanium and Aluminum Mirror Milling by Using S2S-LSTM Deep Learning Technology [S2S-LSTM深度學習技術於鈦及鋁合金鏡面切削之PCD銑刀剩餘壽命預測],2021,"Journal of the Chinese Society of Mechanical Engineers, Transactions of the Chinese Institute of Engineers, Series C/Chung-Kuo Chi Hsueh Kung Ch'eng Hsuebo Pao",42,5,,461,470,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121483821&partnerID=40&md5=d628585c752c3a0651b1baf885ccf1c2,"Both the titanium alloy and aluminum alloy cutting by using Polycrystalline Diamond (PCD) milling cutter for obtaining mirror milling surface results are important processing technologies in the industry. To improve the production efficiency or enhance the cutting performance of this cutting technology, the Remaining Useful Life (RUL) prediction of PCD milling cutter becomes one of the major issues nowadays. The Sequence to Sequence Long Short-term Memory (S2S-LSTM) is used in this research as the prediction model to carry out PCD milling cutter's RUL prediction, and two times of PCD milling cutting experiments for titanium and aluminum alloy are designed and carried out. In the experiments, the data of the vibration signal, sound signal, and the surface roughnesses of the workpieces are measured and used as the datasets. The prediction model yielded F1-scores of 98.1% and 95.8% by using the validation datasets of the two experiments. The proposed model is also compared with other AI (Artificial Intelligent) models, such as RNN (Recurrent Neural Network), GRU (Gated Recurrent Unit), and LSTM under the same batch size, epoch, learning rate, and other hyper-parameters. ? 2021, Chinese Mechanical Engineering Society. All right reserved.",Deep Learning; LSTM; Mirror Milling; RUL; S2S,Aluminum alloys; Cutting; Diamond cutting tools; Forecasting; Long short-term memory; Mirrors; Polycrystalline materials; Surface roughness; Titanium alloys; Aluminium mirrors; Deep learning; Diamond milling; LSTM; Mirror milling; Polycrystalline diamonds; Prediction modelling; Remaining useful life predictions; Remaining useful lives; S2S; Milling (machining),"Chen, S.-L.; Institute of Manufacturing Information and Systems, Taiwan",English,Article,Final,,Scopus,2-s2.0-85121483821
"Adnan M., Yang H.-C., Kuo T.-H., Cheng F.-T., Tran H.-C.",57532439200;7406557435;57226315562;7202811304;57195672827;,MPI-Based System 2 for Determining LPBF Process Control Thresholds and Parameters,2021,IEEE Robotics and Automation Letters,6,4,9466449,6553,6560,,,10.1109/LRA.2021.3092762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111115184&doi=10.1109%2fLRA.2021.3092762&partnerID=40&md5=5652317d97398980a7ec3e4aaba42511,"Determining thresholds of the primary control loops (System 1) of an additive manufacturing (AM) process is challenging when realizing System 1 with its fast and intuitive capability for adapting to different metal powers, machine configurations, and process parameters. Based on the convolution neural network and long short-term memory models, this letter presents a secondary tuning loop (System 2) to classify the types of melt-pool images (MPIs) from a coaxial camera online, suggest polishing parameters, and determine the control thresholds of System 1 offline. Case studies indicate that the thresholds and parameters of System 1 including smoke discharging, powder coating, and laser polishing of control loops of a laser powder bed fusion (LPBF) machine can be more deliberatively and logically decided by the proposed MPI-based System 2. ? 2016 IEEE.",Intelligent Compensator; LPBF; melt pool image; Metal additive manufacturing; Systems 1 & 2,3D printers; Agricultural robots; Control systems; Polishing; Powder coatings; Powder metals; Smoke; Smoke abatement; Control loop; Convolution neural network; Laser polishing; Laser powders; Polishing parameters; Primary control; Process parameters; Short term memory; Process control,"Adnan, M.; Institute of Manufacturing Information and Systems, Taiwan; 電子郵件: ad.gujjar@yahoo.com",English,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85111115184
"Lee C.-Y., Wu C.-S., Hung Y.-H.",57154828200;57221539827;55761195200;,In-Line Predictive Monitoring Framework,2021,IEEE Transactions on Automation Science and Engineering,18,4,,1668,1678,,2,10.1109/TASE.2020.3014177,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096441586&doi=10.1109%2fTASE.2020.3014177&partnerID=40&md5=d3d2f4f34cf6be86c3e466b647c01b34,"Process monitoring, which is used to ensure the product quality in semiconductor manufacturing, develops a control chart and alerts engineers whenever a control limit is exceeded. However, a late alarm could generate defects or scraps, and thus, a prealarm is urgent to be developed. This study proposes an in-line predictive monitoring (ILPM) framework that uses process parameter monitoring (PPM) in the first phase and equipment parameter monitoring (EPM) in the second phase. PPM includes off-line training and in-line prediction, where we collect the first half of time-series data and predict the second half for in-line quality control. To maintain robustness and accuracy, the concept drift is used to update the ILPM model in real time; specifically, the EPM detects the loss of prediction by cumulative sum (CUSUM) control chart or detects the change of equipment parameters by Bayesian approach for developing retraining mechanism. An empirical study of a semiconductor manufacturer indicates that the proposed ILPM framework improved both the quality control and production capacity. Note to Practitioners-Although some in-line monitoring approaches have been proposed for specific conditions, little research has been done to develop a prealarm method; in particular, this study proposes predictive monitoring by using data from multiple sensors (or status variable identifications, SVIDs) to predict one sensor in one process step of semiconductor manufacturer. The prealarm benefits the early troubleshooting and equipment capacity. This study also applies concept drift and equipment parameter monitoring (EPM) to identify the prediction model misalignment or equipment misalignment. In practice, root cause identification of the prediction error is critical and benefits the model retraining and equipment maintenance. ? 2004-2012 IEEE.",Bayesian monitoring; concept drift; failure prognosis; gated recurrent unit (GRU); in-line prediction,Bayesian networks; Control charts; Flowcharting; Forecasting; Process monitoring; Semiconductor device manufacture; Bayesian approaches; Cumulative sum control charts; Equipment parameters; Predictive monitoring; Process parameters; Production capacity; Semiconductor manufacturers; Semiconductor manufacturing; Quality control,"Lee, C.-Y.; Institute of Manufacturing Information and Systems, Taiwan; 電子郵件: cylee@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85096441586
"Hsieh Y.-M., Wang T.-J., Lin C.-Y., Peng L.-H., Cheng F.-T., Shang S.-Y.",57224190653;57224203601;57207942986;57224185660;7202811304;57209538194;,Convolutional Neural Networks for Automatic Virtual Metrology,2021,IEEE Robotics and Automation Letters,6,3,9444197,5720,5727,,,10.1109/LRA.2021.3084882,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107228646&doi=10.1109%2fLRA.2021.3084882&partnerID=40&md5=9857aa14e012fcc66de7fbf93a61ae0f,"To ensure stable manufacturing and high yield of production, factories (e.g., semiconductor or TFT-LCD fabs) conduct quality inspection on workpieces. They tend to adopt sampling inspection in consideration of reducing cost and cycle time, yet that fails to achieve real-time and online total inspection because of the sampling strategy and metrology delay. Automatic Virtual Metrology (AVM) is the best solution to tackle the problem mentioned above, due to the fact that it can convert sampling inspection with metrology delay into on-line and real-time total inspection. However, with the advancement of science and technology, the processes become more and more sophisticated, and the requirement for the accuracy of virtual metrology becomes higher. The current AVM prediction algorithm is the traditional machine learning method, Back-Propagation Neural Networks (BPNN). However, even if the amount of data in this method increases, the performance improvement has its limits, and it requires a strict and time-consuming feature selection process. To improve the prediction accuracy, this work proposes the deep learning method, Convolutional Neural Networks (CNN), for the AVM server. The accuracy of CNN improves as the amount of data grows. In other words, if there are sufficient data, the current accuracy limit of machine learning can be enhanced. Experimental results reveal that CNN can automatically extract highly informative features from the data and improves the original AVM accuracy. ? 2016 IEEE.",Automatic virtual metrology (AVM); convolutional neural networks (CNN); deep learning,Agricultural robots; Backpropagation; Convolution; Deep learning; Inspection; Learning systems; Thin film transistors; Back-propagation neural networks; Machine learning methods; Prediction accuracy; Prediction algorithms; Quality inspection; Sampling strategies; Science and Technology; Virtual metrology; Convolutional neural networks,"Cheng, F.-T.; Institute of Manufacturing Information and Systems, Taiwan; 電子郵件: chengft@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85107228646
"Tang L., Yang T., Tu Y., Ma Y.",57195525945;7404656948;7201525583;24832158200;,Supply chain information sharing under consideration of bullwhip effect and system robustness,2021,Flexible Services and Manufacturing Journal,33,2,,337,380,,4,10.1007/s10696-020-09384-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084701625&doi=10.1007%2fs10696-020-09384-6&partnerID=40&md5=1c3f0d53e713b00e4eee7358df65d61a,"Supply chain system experiences variance amplification in order replenishment and inventory level, leading to severe inefficiencies of the system. Information distortion is universally known as a fundamental reason for the variance amplification phenomenon. The purpose of this paper is to study the effect of demand information sharing in reducing bullwhip effect and improving the robustness of supply chain systems. The “automatic pipeline inventory and order-based production control system, APIOBPCS” is adopted to model supply chains with different information-sharing strategies. The stochastic factors in the supply chain system lead to poor performance in system robustness. Taguchi design is adopted to find out the optimal setting of ordering parameters in the APIOBPCS model for a robust supply chain. An extension of Taguchi design is adopted to solve the multi-response problems. The weighted signal-to-noise ratio is used as the performance index of the overall performance of the supply chain, including inventory cost, customer service level, and inventory variance amplification. The results show that full demand information transparency helps to improve the overall performance of supply chain. Furthermore, the sensitivity analysis of stochastic lead times verifies the results. This research gives some insights to improve the overall performance of supply chain via information sharing. ? 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Bullwhip effect; Information sharing; Multi-response optimization; Signal-to-noise ratio; Simulation; Supply chain,Amplification; Information analysis; Inventory control; Production control; Robustness (control systems); Sensitivity analysis; Signal to noise ratio; Stochastic systems; Supply chains; Customer service levels; Information distortion; Information sharing strategies; Multi-response problem; Order based production; Stochastic lead-times; Supply chain information sharing; Variance amplifications; Information dissemination,"Ma, Y.; School of Economics and Management, China; 電子郵件: yzma-2004@163.com",English,Article,Final,,Scopus,2-s2.0-85084701625
"Lee C.-Y., Wang K., Sun W.",57154828200;56196425500;35216403900;,Allocation of Emissions Permit for China's Iron and Steel Industry in an Imperfectly Competitive Market: A Nash Equilibrium DEA Method,2021,IEEE Transactions on Engineering Management,68,2,8685149,548,561,,10,10.1109/TEM.2019.2904985,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101465615&doi=10.1109%2fTEM.2019.2904985&partnerID=40&md5=7b8af7029bc3da775fb8bc3d36dd7535,China is currently the world's largest producer and consumer of iron and steel. This industry is one of the most energy- and emission-intensive industries in China. It is unsuspicious that energy conservation and emission reduction in this industry are crucial for China to fulfill its obligations of reducing greenhouse gas emission and mitigating global climate change. An appropriate allocation of CO2 emissions permit is the most important precondition for establishing an efficient and effective emissions trading system that had recently been launched in China's pilot regions. This paper proposes a new emissions permit allocation method based on a Nash equilibrium data envelopment analysis model. This method is more appropriate in emissions permit allocation for China's iron and steel firms in an imperfectly competitive market where the product price is endogenous. A noncooperative game is formulated and the mixed complementarity problem is utilized to identify a Nash equilibrium in the allocation of emissions permit (AEP). The most up-to-date AEP using a unique data set of China's major iron and steel enterprises in 2014 is provided in this paper. The results show that the AEP improves the desirable output generation by satisfying the reduction targets of the undesirable outputs. ? 1988-2012 IEEE.,Allocation of emissions permit (AEP); China; data envelopment analysis (DEA); iron and steel industry; Nash equilibrium,Climate change; Commerce; Data envelopment analysis; Emission control; Game theory; Greenhouse gases; Steelmaking; Competitive markets; Emissions trading system; Energy and emissions; Energy conservation and emission reductions; Global climate changes; Iron and steel enterprise; Mixed com-plementarity problems; Noncooperative game; Iron and steel industry,"Wang, K.; Center for Energy and Environmental Policy Research and School of Management and Economics, China; 電子郵件: wangke03@yeah.net",English,Article,Final,,Scopus,2-s2.0-85101465615
"Chen Y.-M., Chen T.-Y., Chen L.-C.",55721170600;56143652800;57195069413;,On a method for location and mobility analytics using location-based services: a case study of retail store recommendation,2021,Online Information Review,45,2,,297,315,,1,10.1108/OIR-10-2017-0292,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086260398&doi=10.1108%2fOIR-10-2017-0292&partnerID=40&md5=34acc691e1c2ebb65cdf86a5897d5607,"Purpose: Location-based services (LBS) have become an effective commercial marketing tool. However, regarding retail store location selection, it is challenging to collect analytical data. In this study, location-based social network data are employed to develop a retail store recommendation method by analyzing the relationship between user footprint and point-of-interest (POI). According to the correlation analysis of the target area and the extraction of crowd mobility patterns, the features of retail store recommendation are constructed. Design/methodology/approach: The industrial density, area category, clustering and area saturation calculations between POIs are designed. Methods such as Kernel Density Estimation and K-means are used to calculate the influence of the area relevance on the retail store selection. Findings: The coffee retail industry is used as an example to analyze the retail location recommendation method and assess the accuracy of the method. Research limitations/implications: This study is mainly limited by the size and density of the datasets. Owing to the limitations imposed by the location-based privacy policy, it is challenging to perform experimental verification using the latest data. Originality/value: An industrial relevance questionnaire is designed, and the responses are arranged using a simple checklist to conveniently establish a method for filtering the industrial nature of the adjacent areas. The New York and Tokyo datasets from Foursquare and the Tainan city dataset from Facebook are employed for feature extraction and validation. A higher evaluation score is obtained compared with relevant studies with regard to the normalized discounted cumulative gain index. ? 2020, Emerald Publishing Limited.",Location-based services; Retail store recommendation; Spatial and temporal data mining; Urban mining,Extraction; Location; Retail stores; Sales; Telecommunication services; Correlation analysis; Design/methodology/approach; Experimental verification; Kernel Density Estimation; Location selection; Location-based social networks; Point of interest; Recommendation methods; Location based services; article; calculation; checklist; coffee; correlation analysis; data mining; feature extraction; filtration; human; human experiment; Japan; New York; privacy; questionnaire; social network,"Chen, T.-Y.; Department of Information Management, Taiwan; 電子郵件: tsungyi@mail.nhu.edu.tw
Chen, Y.-M.; Institute of Manufacturing Information and Systems, Taiwan; 電子郵件: ymchen@mail.ncku.edu.tw
Chen, L.-C.; Institute of Manufacturing Information and Systems, Taiwan; 電子郵件: lcchen1993@gmail.com",English,Article,Final,,Scopus,2-s2.0-85086260398
