作者,作者身分,"標題	",年份,來源出版物名稱,卷,期,論文編號,起始頁碼,結束頁碼,頁碼計數,被引用文獻,DOI,連結,摘要,作者關鍵字,索引關鍵字,通訊地址,原始文獻語言,文獻類型,出版階段,開放取用,來源出版物,EID
"Tsai W.-L., Su L.-W., Ko T.-Y., Pan T.-Y., Hu M.-C.",57193790371;57210915061;57210918872;57188762510;37048901700;,Feasibility Study on Using AI and VR for Decision-Making Training of Basketball Players,2021,IEEE Transactions on Learning Technologies,14,6,,754,762,,,10.1109/TLT.2022.3145093,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123676792&doi=10.1109%2fTLT.2022.3145093&partnerID=40&md5=789cb83558e2ad2383f216b27449817c,"Decision-making plays an essential role in basketball offense. Offensive players must make effective decisions to score a basket in various defensive situations. Virtual reality (VR) has been widely used in the training of athletes to strengthen their ability to make optimal decisions by creating controllable repeatable training scenarios. In this article, an action-aware offensive decision-making training system for basketball using VR and artificial intelligence is proposed. The proposed system is composed of different virtual defensive scenarios and an offensive action recognition framework. Trainees wearing head-mounted display and a motion capture suit are trained by intuitively interacting with the VR system and receive decision suggestions when a bad one is made. This study changes the training media and methods to create an immersive training environment during the training phase and evaluates the training effectiveness. These training scenarios are a conventional tactics board, the proposed VR system with a prerecorded $360^\circ$ panorama video, and the VR system with computer-simulated virtual content. Results indicate that the training scenario affects the training in terms of decision time. ? 2008-2011 IEEE.",Decision-making; sports; training; virtual reality(VR),E-learning; Helmet mounted displays; Interactive computer systems; Real time systems; Sports; Three dimensional computer graphics; Virtual reality; Decisions makings; Feasibility studies; Optimal decisions; Real - Time system; Resist; Three-dimensional display; Training scenario; Training Systems; Virtual reality system; Decision making,"Tsai, W.-L.; Department of Computer Science and Information Engineering, Taiwan; 電子郵件: lookoutking@gmail.com",English,Article,Final,,Scopus,2-s2.0-85123676792
"Tsai I.-C., Hsu C.-W., Chang C.-H., Tseng P.-T., Chang K.-V.",57359415900;57192317501;30267458500;37085701300;36058473500;,The effect of curcumin differs on individual cognitive domains across different patient populations: A systematic review and meta-analysis,2021,Pharmaceuticals,14,12,1235,,,,,10.3390/ph14121235,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120430388&doi=10.3390%2fph14121235&partnerID=40&md5=126138bb03f7f8f779e2c5884a176634,"Curcumin is a polyphenol with strong antioxidant and anti-inflammatory effects that has been shown to be effective in ameliorating cognitive decline in animal studies. However, its clinical effectiveness is inconclusive, and relevant gastrointestinal adverse events (AEs) have been reported. The aim of this meta-analysis was to summarize the existing evidence from randomized controlled trials (RCTs) of effects of curcumin on overall cognitive function, individual cognitive domains, and gastrointestinal AE. The study includes 8 RCTs and 389 participants. A random-effects model was used for the meta-analysis. Compared with the placebo group, the curcumin group was associated with an improvement in working memory (Hedges’ g = 0.396, 95% confidence interval (CI) = 0.078 to 0.714, p = 0.015) and a borderline benefit in processing speed (Hedges’ g = 0.303, 95% CI = ?0.013 to 0.619, p = 0.06). In the domains of language, episodic memory/visual learning, verbal memory, cognitive flexibility/problem solving, and overall cognitive function, no significant difference ex-isted for the comparison between the curcumin and placebo groups. The curcumin group had a significantly higher risk of gastrointestinal AEs than the placebo group (odds ratio = 3.019, 95% CI = 1.118 to 8.150, p = 0.029). In the future, the effects of curcumin on working memory, processing speed, and gastrointestinal AE should be further investigated. ? 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Cognition; Cognitive function; Curcuma longa; Curcumin; Turmeric,curcumin; placebo; cognition; cognitive flexibility; drug efficacy; drug mechanism; drug safety; episodic memory; evidence based medicine; gastrointestinal symptom; human; language; learning; meta analysis; outcome assessment; problem solving; processing speed; Review; risk benefit analysis; systematic review; verbal memory; visual learning; working memory,"Chang, K.-V.; Department of Physical Medicine and Rehabilitation, Taiwan; 電子郵件: kvchang011@gmail.com",English,Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120430388
"Shiau Y.-H., Huang K.-Y., Chen P.-Y., Kuo C.-Y.",7102802653;57222298550;24545539300;57661036200;,A Low-Cost Hardware Design of Learning-Based One-Dimensional Interpolation for Real-Time Video Applications at the Edge,2021,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,11,4,,677,689,,1,10.1109/JETCAS.2021.3121070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118235391&doi=10.1109%2fJETCAS.2021.3121070&partnerID=40&md5=1c0634e6ecbaa44d5b77979df5bf628c,"Gradual advances have occurred in the design of micro-artificial intelligence for resource-limited hardware. A high-resolution (HR) image reconstruction module is indispensable for video analytics chips or devices at the edge. This paper proposes a low-cost and learning-based interpolation method for HR image reconstruction. The proposed method generates reconstructed pixels by processing reference pixels with optimal weights, which are pre-trained by solving the minimum mean square error problem for real images. To reduce the number of computation units and the usage of learned weights, a cross-directional interpolation architecture, which includes a vertical kernel and a horizontal kernel, is adopted. Moreover, a one-dimensional feature discriminator is proposed to improve the quality of up-scaled images efficiently. The main benefit of the proposed method is that it requires a small number of computation units but can still produce high-quality images. The hardware architecture of the proposed method was implemented on a field-programmable gate array (FPGA) by using Xilinx UltraScale+ ZCU102 and an application-specific integrated circuit (ASIC) by using TSMC's 0.13- mu text{m} technology. On the ASIC, the proposed hardware required only approximately 60K gate counts and 50 KBytes of memory. The experimental results indicate that the average peak signal-to-noise ratio of the up-scaled images reached 35.92 dB for the Set-5 dataset. The throughput of the proposed hardware was at least 1000 Mpixels/s on the FPGA and 1200 Mpixels/s on the ASIC, which indicates that the proposed hardware can handle a target resolution higher than 4K in real time. ? 2011 IEEE.",hardware; Image up-scaling; interpolation; machine learning; minimum mean-square-error,Costs; Edge detection; Field programmable gate arrays (FPGA); Image enhancement; Image quality; Image reconstruction; Integrated circuit design; Interpolation; Learning algorithms; Learning systems; Logic gates; Pixels; Signal to noise ratio; Application-specific integrated circuits; Hardware; High resolution image reconstruction; Image edge detection; Image up-scaling; Images reconstruction; Kernel; Low cost hardware; Upscaling; Mean square error,"Chen, P.-Y.; Department of Computer Science and Information Engineering, Taiwan; 電子郵件: pychen@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85118235391
"Abdollahi S., Dehghanian S.Z., Hung L.-Y., Yang S.-J., Chen D.-P., Medeiros L.J., Chiang J.-H., Chang K.-C.",57226632892;57221725686;35983233900;57290822700;57290822800;35234357800;7201425280;24464904200;,Deciphering genes associated with diffuse large B-cell lymphoma with lymphomatous effusions: A mutational accumulation scoring approach,2021,Biomarker Research,9,1,74,,,,,10.1186/s40364-021-00330-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116742479&doi=10.1186%2fs40364-021-00330-8&partnerID=40&md5=f7d3155fe32dd300ffe123c21cd73b2b,"Introduction: Earlier studies have shown that lymphomatous effusions in patients with diffuse large B-cell lymphoma (DLBCL) are associated with a very poor prognosis, even worse than for non-effusion-associated patients with stage IV disease. We hypothesized that certain genetic abnormalities were associated with lymphomatous effusions, which would help to identify related pathways, oncogenic mechanisms, and therapeutic targets. Methods: We compared whole-exome sequencing on DLBCL samples involving solid organs (n = 22) and involving effusions (n = 9). We designed a mutational accumulation-based approach to score each gene and used mutation interpreters to identify candidate pathogenic genes associated with lymphomatous effusions. Moreover, we performed gene-set enrichment analysis from a microarray comparison of effusion-associated versus non-effusion-associated DLBCL cases to extract the related pathways. Results: We found that genes involved in identified pathways or with high accumulation scores in the effusion-based DLBCL cases were associated with migration/invasion. We validated expression of 8 selected genes in DLBCL cell lines and clinical samples: MUC4, SLC35G6, TP53BP2, ARAP3, IL13RA1, PDIA4, HDAC1 and MDM2, and validated expression of 3 proteins (MUC4, HDAC1 and MDM2) in an independent cohort of DLBCL cases with (n = 31) and without (n = 20) lymphomatous effusions. We found that overexpression of HDAC1 and MDM2 correlated with the presence of lymphomatous effusions, and HDAC1 overexpression was associated with the poorest prognosis. Conclusion: Our findings suggest that DLBCL associated with lymphomatous effusions may be associated mechanistically with TP53-MDM2 pathway and HDAC-related chromatin remodeling mechanisms. ? 2021, The Author(s).",Bioinformatics; Diffuse large B-cell lymphoma; HDAC1; Lymphomatous effusions; Prognosis; Sequencing; Whole exome,B lymphocyte receptor; beta actin; breakpoint cluster region protein; cytokine; DNA polymerase; focal adhesion kinase; genomic DNA; glycoprotein; histone deacetylase 1; immunoglobulin enhancer binding protein; Ki 67 antigen; mannomustine; membrane protein; monoclonal antibody; mouse double minute 2 homolog; mucin 4; mucosa associated lymphoid tissue lymphoma translocation protein 1; Notch1 receptor; protein; protein bcl 2; protein p53; SUMO protein; synaptophysin; toll like receptor; transcription factor EZH2; vasculotropin; adult; aged; ArfGAP with RhoGAP domain ankyrin repeat And PH domain 3; Article; B cell lymphoma cell; B lymphocyte; bioinformatics; cancer prognosis; cell culture; cell cycle; cell migration; chromatin assembly and disassembly; cohort analysis; controlled study; diffuse large B cell lymphoma; DNA extraction; down regulation; Escherichia coli; female; gene; gene expression; gene library; gene set enrichment analysis; human; illumina sequencing; immunohistochemistry; interleukin 13 receptor subunit alpha 1; JAK-STAT signaling; major clinical study; male; MAPK signaling; microarray analysis; middle aged; mutation; oncogene c myc; organ; pathogenicity; pathology; polymerase chain reaction; primary effusion lymphoma; protein disulfide isomerase family A member 4; quality control; RNA extraction; sequence analysis; signal transduction; solute carrier family 35 member G6; somatic hypermutation; tissues; tumor gene; tumor invasion; tumor protein P53 binding protein 2; validation process; very elderly; Western blotting; whole exome sequencing,"Chiang, J.-H.; Intelligent Information Retrieval Lab, Taiwan; 電子郵件: jchiang@mail.ncku.edu.tw
Chang, K.-C.; Department of Pathology, 138 Sheng-Li Road, Taiwan; 電子郵件: changkc@mail.ncku.edu.tw",English,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85116742479
"Chen T.-J., Dehghanian S.Z., Chan T.-C., He H.-L., Li W.-S., Abdollahi S., Chen N.-Y., Li C.-F., Shiue Y.-L.",54079431100;57221725686;57189382865;56135231700;57193686407;57226632892;57226595518;12041463300;7004547082;,High G protein subunit beta 4 protein level is correlated to poor prognosis of urothelial carcinoma,2021,Medical Molecular Morphology,54,4,,356,367,,1,10.1007/s00795-021-00301-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112554678&doi=10.1007%2fs00795-021-00301-w&partnerID=40&md5=510ddf68e41ce619a7dd38cd976236bb,"Data mining on a public domain detected eight potential transcripts which were upregulated in advanced UBUCs, suggesting that they may take part in UC development or/and progression. Retrospectively, immunohistochemistry along with H-score recording was carried out to evaluate the GNB4 protein levels on tissues from UC patients. Correlations between GNB4 H-score and imperative clinicopathological factors, as well as the implication of GNB4 protein level on disease-specific and metastasis-free survivals were assessed. In UTUCs (n = 340) and UBUCs (n = 295), 170 (50.0%) and 148 (50.0%) cases, respectively, were identified to be of high GNB4 expression. The GNB4 protein levels were correlated to numerous clinicopathological features and patients’ survivals. Upregulation of the GNB4 protein was significantly associated with primary tumor, nodal metastasis, histological grade, vascular invasion and mitotic rate. High GNB4 protein levels independently and significantly predicted poor disease-specific and metastasis-free in UTUC and UBUC, respectively. Ingenuity pathway analysis furthermore showed that multiple signaling pathways were enriched including ‘Communication between Innate and Adaptive Immune Cells’ and ‘NFκB Signaling’. Our findings demonstrated that the upregulation of the GNB4 protein is an independent unfavorable prognosticator in UC. High GNB4 gene expression plays an important role in UC progression. ? 2021, The Japanese Society for Clinical Molecular Morphology.",G protein subunit beta 4; GNB4; Molecular pathology; Prognostic marker; Urothelial carcinoma,"aspartate aminotransferase; cisplatin; g protein subunit beta 4; guanine nucleotide binding protein; long untranslated RNA; messenger RNA; protein p53; transcriptome; unclassified drug; adult; aged; Article; cancer grading; cancer mortality; cancer prognosis; cancer specific survival; cancer staging; cancer survival; cell proliferation; cohort analysis; computer assisted tomography; controlled study; cystectomy; cystoscopy; data mining; disease free survival; disease specific survival; female; follow up; gene expression; gene ontology; Gleason score; histopathology; human; human tissue; immunocompetent cell; immunohistochemistry; major clinical study; male; median survival time; metastasis free survival; microarray analysis; mitosis index; mitosis rate; molecular pathology; nephroureterectomy; NF kB signaling; nuclear magnetic resonance imaging; overall survival; perineural invasion; prognosis; prostate cancer; protein expression; radical nephrectomy; survival analysis; survival rate; tissue microarray; transcription initiation; transcriptomics; transitional cell carcinoma; tumor invasion; tumor volume; upregulation; urine cytology; bladder tumor; protein subunit; retrospective study; transitional cell carcinoma; Carcinoma, Transitional Cell; Humans; Immunohistochemistry; Protein Subunits; Retrospective Studies; Urinary Bladder Neoplasms","Li, C.-F.; Department of Medical Research, 901 Zhanghua Rd, Taiwan; 電子郵件: angelo.p@yahoo.com.tw
Shiue, Y.-L.; Institute of Biomedical Sciences, 70 Lienhai Rd., Taiwan; 電子郵件: shirley@imst.nsysu.edu.tw",English,Article,Final,,Scopus,2-s2.0-85112554678
"Kimura M., Imai K., Morinaka Y., Hosono-Sakuma Y., Horton P., Imamoto N.",7404739844;55465678200;57193393426;57234563800;57203184102;7003822425;,Distinct mutations in importin-β family nucleocytoplasmic transport receptors transportin-SR and importin-13 affect specific cargo binding,2021,Scientific Reports,11,1,15649,,,,1,10.1038/s41598-021-94948-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111800199&doi=10.1038%2fs41598-021-94948-1&partnerID=40&md5=c136a596cc1764d6b3274aa0f1c3be1b,"Importin-(Imp)β family nucleocytoplasmic transport receptors (NTRs) are supposed to bind to their cargoes through interaction between a confined interface on an NTR and a nuclear localization or export signal (NLS/NES) on a cargo. Although consensus NLS/NES sequence motifs have been defined for cargoes of some NTRs, many experimentally identified cargoes of those NTRs lack those motifs, and consensus NLSs/NESs have been reported for only a few NTRs. Crystal structures of NTR–cargo complexes have exemplified 3D structure-dependent binding of cargoes lacking a consensus NLS/NES to different sites on an NTR. Since only a limited number of NTR–cargo interactions have been studied, whether most cargoes lacking a consensus NLS/NES bind to the same confined interface or to various sites on an NTR is still unclear. Addressing this issue, we generated four mutants of transportin-(Trn)SR, of which many cargoes lack a consensus NLS, and eight mutants of Imp13, where no consensus NLS has been defined, and we analyzed their binding to as many as 40 cargo candidates that we previously identified by a nuclear import reaction-based method. The cargoes bind differently to the NTR mutants, suggesting that positions on an NTR contribute differently to the binding of respective cargoes. ? 2021, The Author(s).",,"karyopherin beta; transportin SR; cell nucleus; metabolism; mutation; nuclear localization signal; nucleocytoplasmic transport; Active Transport, Cell Nucleus; beta Karyopherins; Cell Nucleus; Mutation; Nuclear Localization Signals","Kimura, M.; Cellular Dynamics Laboratory, Japan; 電子郵件: makimura@riken.jp
Imamoto, N.; Cellular Dynamics Laboratory, Japan; 電子郵件: nimamoto@riken.jp
Imai, K.; Cellular and Molecular Biotechnology Research Institute, Japan; 電子郵件: kenichiro.imai@aist.go.jp",English,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85111800199
"Yeh W.-H., Lai L.-J., Chang D.-W., Lin W.-S., Lin G.-M., Shaw F.-Z.",57221636096;57224353108;36616129600;57224363218;57224366395;7006837476;,Portable rotating grating stimulation for anisometropic amblyopia with 6?months training,2021,Scientific Reports,11,1,11430,,,,,10.1038/s41598-021-90936-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107436905&doi=10.1038%2fs41598-021-90936-7&partnerID=40&md5=4e58caaf92d77561f69f6db4058bb00f,"Treatment of grating stimulation has been used in amblyopia for decades, but high dropout rate and inconvenience for daily practice occur in previous studies. We developed a home-based portable system with rotating grating stimulation on a tablet. Thirty anisometropic amblyopic children were randomly allocated into the control or Grating group. They drew contour of the picture under patch of a better eye for 6?months. Best-corrected visual acuity (BCVA), grating acuity (GA), and contrast sensitivity (CS) were assessed at the baseline, 1st, 2nd, 3rd, and 6th months of training. All participants completed the 6-month training. Patched eyes of both groups exhibited no difference. Trained eyes of the control group had significantly slight improvement in BCVA and GA. In particular, the Grating group exhibited significantly higher BCVA, GA, and CS compared with those of the control group at the 3rd and 6th months of training. Moreover, percentage of the Grating group with great improvement (BCVA ? 0.3 or CS ? 0.3) was significantly larger than those of the control group at the 3rd or 6th months of training. The portable grating stimulation system demonstrates its trainability by no dropout and effectiveness by significant improvements in all assessments through a well experimental design. Trial Registration: ClinicalTrials.gov NCT04213066, registered 30/12/2019, https://clinicaltrials.gov/ct2/show/NCT04213066. ? 2021, The Author(s).",,"amblyopia; child; contrast sensitivity; controlled study; female; human; male; pathophysiology; personal digital assistant; randomized controlled trial; Amblyopia; Child; Computers, Handheld; Contrast Sensitivity; Female; Humans; Male","Shaw, F.-Z.; Institute of Basic Medical Sciences, Taiwan; 電子郵件: fzshaw@gmail.com",English,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85107436905
"Cheng S.-T., Hsu C.-W., Horng G.-J., Chen S.-Y.",7404685813;57139104100;23094553700;57223427904;,Across-camera object tracking using a conditional random field model,2021,Journal of Supercomputing,77,12,,14252,14279,,2,10.1007/s11227-021-03862-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105846230&doi=10.1007%2fs11227-021-03862-w&partnerID=40&md5=6b22a5e7835c32791dfde2cd55c4b230,"To ensure safety, most public spaces now deploy monitoring systems. However, in most scenarios, the tracking operations of these monitoring systems are performed manually. These operations should be automated. This paper proposes using a conditional random field (CRF) to formulate the automatic execution problem as a cost minimization problem. The appearance of pedestrians and the time taken by them to cross the view of a camera are used to solve the automatic execution problem. Crowd psychology is used to define constraints and construct a CRF graph. A Siamese convolutional neural network is employed to recognize pedestrian appearance. The time spent by pedestrians crossing the view of a camera is modeled using a normal distribution. The results of two models are considered as the costs of nodes and edges. The proposed algorithm is applied under constraints to determine matches at the minimum cost. The accuracy of the proposed method is compared with that of other methods by using common datasets and benchmarks. Superior results are obtained when both appearance and spatiotemporal information are employed for solving the automatic execution problem than when using appearance alone. ? 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Across-camera object tracking; Conditional random field; Siamese convolutional neural network,Cameras; Convolutional neural networks; Monitoring; Normal distribution; Random processes; Conditional random field; Cost minimization; Minimum cost; Monitoring system; Public space; Spatiotemporal information; Time spent; Tracking operations; Object tracking,"Horng, G.-J.; Department of Computer Science and Information Engineering, Taiwan; 電子郵件: grojium@gmail.com",English,Article,Final,,Scopus,2-s2.0-85105846230
"Lin L., Huang Y., Lin Y., Xu L., Hsieh S.-Y.",56562142400;57201310982;57222958003;57199907190;7202056469;,An Analysis on the Reliability of the Alternating Group Graph,2021,IEEE Transactions on Reliability,70,4,,1542,1555,,1,10.1109/TR.2021.3066185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104261382&doi=10.1109%2fTR.2021.3066185&partnerID=40&md5=6f6625cb3e6954e0156219a4f9b91faf,"For interconnection network losing processors, usually, when the surviving network has a large connected component, it can be used as a functional subsystem without leading to severe performance degradation. Consequently, it is crucial to characterize the interprocessor communication ability and efficiency of the surviving structure. In this article, we prove that when a subset D of at most 6n-17 processors is deleted from an n-dimensional alternating group graph AG n, there exists a largest component with cardinality greater or equal to |V(AGn)|-|D|-3 for n\? 6 in the remaining network, and the union of small components is, first, an empty graph; or, second, a 3-cycle, or an edge, or a 2-path, or a singleton; or, third, an edge and a singleton, or two singletons. Then, we prove that when a subset D of at most 8n-25 processors is deleted from AG n, there exists a largest component with cardinality greater or equal to |V(AG_n)|-|D|-5 for n\? 6 in the remaining network, and the union of small components is, first, an empty graph; or, second, a 5-cycle, or a 4-path, or a 4-claw, or a 4-cycle, or a 3-path, or a 3-claw, or a 3-cycle, or a 2-path, or an edge, or a singleton; or, third, a 4-cycle and a singleton, or a 3-path and a singleton, or a 3-claw and a singleton, or a 2-path and a singleton, two edges, an edge and a singleton, or two singletons; or, fourth, two edges and a singleton, or a 2-path and two singletons, or an edge and two singletons, or three singletons. ? 1963-2012 IEEE.",Alternating group graph; fault diagnosis; fault tolerance; interconnection network; reliability,Reliability analysis; Alternating group graph; Cardinalities; Connected component; Empty graph; Functional subsystems; Inter processor communication; Performance degradation; Small components; Interconnection networks (circuit switching),"Hsieh, S.-Y.; Department of Computer Science and Information Engineering, Taiwan; 電子郵件: hsiehsy@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85104261382
"Lin P.-C., Yeh Y.-M., Chan R.-H., Lin B.-W., Chen P.-C., Pan C.-C., Shen M.-R.",8678966900;23993147700;55286854800;55466829600;55490245600;57222230254;7401466295;,Sequential and co-occurring DNA damage response genetic mutations impact survival in stage III colorectal cancer patients receiving adjuvant oxaliplatin-based chemotherapy,2021,BMC Cancer,21,1,217,,,,3,10.1186/s12885-021-07926-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101898256&doi=10.1186%2fs12885-021-07926-1&partnerID=40&md5=dea36ad62e6d65ef88288025fc00dab1,"Background: Certain sequences of genomic mutations can lead to cancer formation and affect treatment outcomes and drug resistance. We constructed a cancer evolutionary tree using bulk-targeted deep sequencing to explore the impact of sequential and co-occurring somatic mutations on patients with stage III colorectal cancer (CRC). Methods: A total of 108 stage III CRC patients from National Cheng Kung University Hospital (NCKUH) were recruited for this study between Jan. 2014 and Jan. 2019. Clinical information and tumor-targeted deep sequencing data were collected. Phylogenetic trees were reconstructed for evolutionary trajectories. We used a machine learning model for survival analysis. Results: Six sequential somatic mutations stratified patients into seven subgroups based on survival. Patients carrying sequential germline followed by DNA damage response-related ATM or BRCA2 somatic mutations or non-TP53, APC somatic mutations had a better outcome than those without such mutations. The 4-year recurrence-free survival (RFS) probability was 88% in the low-risk group (G1) and 46% in the high-risk group (G2) (log-rank p-value 2e-05). The predictive efficacy by the area under the curve (AUC) was 0.73, 0.7, 0.797, and 0.88 at 2, 4, 6, and 8 years, respectively. The mutation status of mismatch repair (MMR) genes was not associated with RFS. Different genomic features were found between the groups. The orders of APC, KRAS and APC, BRCA2 sequential somatic mutations were associated with clinical outcomes. The occurrence of somatic mutations in BRCA2, such as TP53 somatic mutations, affected recurrence-free survival. Conclusions: According to the evolution model, DNA damage response (DDR)-related ATM or BRCA2 somatic mutations are promising biomarkers for assessing the response of stage III CRC patients to oxaliplatin-based chemotherapy. The sequential order and co-occurring DDR somatic mutations are associated with recurrence-free survival. ? 2021, The Author(s).",Colorectal cancer; DNA damage response gene; Sequential somatic mutations; Tumor evolution; Tumor heterogeneity,"APC protein; ATM protein; BRCA2 protein; DNA; fluorouracil; folinic acid; oxaliplatin; protein p53; APC protein; APC protein, human; BRCA2 protein; BRCA2 protein, human; KRAS protein, human; oxaliplatin; protein p21; adjuvant therapy; adult; aged; Article; cancer adjuvant therapy; cancer evolutionary tree; cancer patient; cancer staging; cancer survival; clinical outcome; colorectal cancer; controlled study; DNA damage response; female; gene mutation; genetic association; germline mutation; high risk population; human; human tissue; low risk population; machine learning; major clinical study; male; mismatch repair; mutational analysis; oncogene K ras; oncological parameters; phylogenetic tree; phylogeny; recurrence free survival; somatic mutation; Taiwan; treatment response; university hospital; cancer staging; colorectal tumor; DNA damage; genetics; middle aged; mortality; mutation; pathology; Adenomatous Polyposis Coli Protein; Aged; BRCA2 Protein; Colorectal Neoplasms; DNA Damage; Female; Humans; Male; Middle Aged; Mutation; Neoplasm Staging; Oxaliplatin; Phylogeny; Proto-Oncogene Proteins p21(ras)","Shen, M.-R.; Graduate Institute of Clinical Medicine, Taiwan; 電子郵件: mrshen@mail.ncku.edu.tw",English,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85101898256
