作者,作者身分,"標題	",年份,來源出版物名稱,卷,期,論文編號,起始頁碼,結束頁碼,頁碼計數,被引用文獻,DOI,連結,摘要,作者關鍵字,索引關鍵字,通訊地址,原始文獻語言,文獻類型,出版階段,開放取用,來源出版物,EID
"Min K.-P., Li C.-Y., Chang T.-J., Chu S.-Y.",57216340982;57215870944;57372304100;7403622009;,The Effects of Si Doping on the Endurance and Stability Improvement of AlN-Based Resistive Random Access Memory,2021,ACS Applied Electronic Materials,3,12,,5327,5334,,,10.1021/acsaelm.1c00823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121127164&doi=10.1021%2facsaelm.1c00823&partnerID=40&md5=31a287fa7a718fe005b5eecb474a4b7e,"Aluminum nitride (AlN) based resistance random access memory (RRAM) devices with TiN/AlN/Pt metal–insulator–metal (MIM) structures were fabricated in this study. To improve the characteristics of the RRAM such as high endurance operation and high resistance switching stability, silicon dopants were doped into AlN films by using the cosputtering method. Then, the influence of the concentration of silicon doping on the bipolar switching characteristics of AlN-based RRAM was studied. The research results show that the on/off ratio of the device after silicon doping has increased from 10 to about 1000, the set voltage has reduced from 2.5 to 1.9 V, and the reset voltage has reduced from ?1.5 to ?1.1 V. The stability of resistance switching (RS) is also improved. Besides, it is found that silicon doping helps to lower the instability caused by the oxygen ions and increased the endurance cycle (&gt;2.5 × 106 cycles). Based on the results, the detailed mechanisms were also investigated systematically. ? 2021 American Chemical Society",aluminum nitride; cosputtering; resistance random access memory; resistance switching; silicon doping,Aluminum nitride; III-V semiconductors; Metal insulator boundaries; MIM devices; RRAM; Semiconductor doping; Silicon; Stability; Titanium nitride; Cosputtering; Endurance improvement; High resistance; Metal-insulator-metal structures; Random access memory; Resistance random-access memory; Resistance switching; Si-doping; Silicon doping; Stability improvement; Switching,"Chu, S.-Y.; Department of Electrical Engineering, Taiwan; 電子郵件: chusy@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85121127164
"Chen S.-C., Chen L.-J., Lin C.-L.",57215675980;57210979615;55730232400;,Simplified pixel circuit with new external compensation circuit for high-resolution AMOLED displays,2021,Proceedings of the International Display Workshops,27,,,174,177,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119972787&partnerID=40&md5=f56595c91774d1b10f279e2887214ff7,"This work presents a simple pixel structure with external compensation circuit for high-resolution active-matrix organic light-emitting diode (AMOLED) displays. Simulation results indicate that the emission current error rates are all below 5%, proving that the proposed circuit can improve the image quality of high-resolution AMOLED displays. ? 2020 ITE and SID.",Active-matrix organic light-emitting diode; External compensation; Low-temperature polycrystalline silicon,Image enhancement; Pixels; Silicon; Temperature; Timing circuits; Active matrixes; Active-matrix organic light-emitting diode; Compensation circuits; External compensation; High resolution; Lower temperature polycrystalline silicons; Organic light emitting diode display; Pixel circuit; Pixel structure; Simple++; Organic light emitting diodes (OLED),"Lin, C.-L.; National Cheng Kung University, Taiwan; 電子郵件: cllin@ee.ncku.edu.tw",English,Conference Paper,Final,,Scopus,2-s2.0-85119972787
"Huang K.-Y., Juang J.-C., Lin C.-T., Tsai Y.-F., Yang D.-S.",57195379311;7202725912;36450916000;35204062300;57222466547;,Designing a Dual-Frequency GPS FPGA Altimeter with Optimized Open-Loop Tracking and Cross-Path Calibration,2021,"Journal of Aeronautics, Astronautics and Aviation ",53,4,,535,546,,,10.6125/JoAAA.202112_53(4).07,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127533838&doi=10.6125%2fJoAAA.202112_53%284%29.07&partnerID=40&md5=4a5af5ef77b825b4a40f4b32894da596,"To achieve fast and large-scale monitoring of global sea surface heights (SSH), we designed a Global Navigation Satellite System (GNSS) altimeter with in-loop optimization. By measuring the delays between the reflected and direct GNSS signals, we were able to calculate the sea surface height. In Global Positioning System (GPS) altimetry, receivers must collect reflected GNSS signals from the ocean surface. However, this can be affected by high mobility issues and weak received signal power. Therefore, we adopted an open-loop tracking strategy along with optimized loop filtering on the Field Programmable Gate Array (FPGA) altimeter to overcome these limitations. In addition, further dual-frequency GPS signal processing was applied in order to conduct the proposed cross-path ionospheric error calibration, achieving a better ranging performance. To verify the effectiveness of the proposed altimeter, flight tests using a Gulfstream Jet were conducted; the real-time performance is demonstrated. ? 2021, The Aeronautical and Astronautical Society of the Republic of China. All right reserved.",Cross-path calibration; Flight tests; GNSS FPGA altimeter; Open-loop tracking; Tracking reflected GPS signal,Field programmable gate arrays (FPGA); Global positioning system; Integrated circuit design; Meteorological instruments; Signal processing; Surface waters; Cross-path calibration; Dual frequency; Flight test; Global navigation satellite system field programmable gate array altimeter; Global Navigation Satellite Systems; Large-scale monitoring; Open loop tracking; Sea surface height; System signals; Tracking reflected global positioning system signal; Calibration,"Huang, K.-Y.; Department of Electrical Engineering, Taiwan; 電子郵件: steer52@hotmail.com.tw",English,Article,Final,,Scopus,2-s2.0-85127533838
"Chien C.-W., Chu S.-Y., Kao P.-C., Tsai C.-T.",57221701747;7403622009;8647486400;57202600964;,Investigation and optimization of the TCTA: TmPyPB-based blue-emitting organic light-emitting diodes with high efficiency,2021,Results in Optics,5,,100162,,,,,10.1016/j.rio.2021.100162,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126645787&doi=10.1016%2fj.rio.2021.100162&partnerID=40&md5=6603d2f7b135f37ddb866dfb177c3f5a,"Currently, exciplex-based materials had drawn attention of its potential for efficient electroluminescence or for use as a host. In this study, we use TCTA and TmPyPB to form an exciplex host and FIrpic were used as dopant to emit blue phosphorescent light. The mixed ratio of the host was selected to improve the current efficiency of the device and used various types of data to investigate the most important factors affecting efficiency (such as photoluminescence, single carrier device, and electroluminescence). We found out the ratio 1:2 was the preferable ratio in this study. The devices with mixed ratio 1:2 have pretty high current efficiency (56 cd/A). ? 2021 The Author(s)",Carrier mobility; Exciplex host; OLED,,"Chu, S.-Y.; Department of Electrical Engineering, Taiwan; 電子郵件: chusy@mail.ncku.edu.tw",English,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85126645787
"Jian J.-J., Lee H.-Y., Chang E.-Y., Lee C.-T.",57220183043;35339459700;57136717000;35215606200;,Investigation of multi-mesa-channel-structured algan/gan moshemts with sio2 gate oxide layer,2021,Coatings,11,12,1494,,,,,10.3390/coatings11121494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121618636&doi=10.3390%2fcoatings11121494&partnerID=40&md5=8b436917a0cd93ae95554b8d1f39ae32,"In this study, an electron-beam lithography system was employed to pattern 80-nm-wide and 980-nm-spaced multi-mesa-channel for fabricating AlGaN/GaN metal-oxide-semiconductor high electron mobility transistors (MOSHEMTs). Since the structure of multi-mesa-channel could enhance gate control capabilities and reduce the self-heating effect in the channel, the performance of the MOSHEMTs could be obviously improved. The direct current performance metrics of the multi-mesa-channel-structured MOSHEMTs, such as a saturation drain-source current of 929 mA/mm, maximum extrinsic transconductance of 223 mS/mm, and on-resistance of 2.1 Ω-mm, were much better than those of the planar-structured MOSHEMTs. Moreover, the threshold voltage of the multi-mesa-channel-structured MOSHEMTs shifted toward positive voltage from ?2.6 to ?0.6 V, which was attributed to the better gate control capability. Moreover, the multi-mesa-channel-structured MOSHEMTs also had superior high-frequency and low-frequency noise performance. A low Hooge’s coefficient of 1.17 × 10?6 was obtained. ? 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Electron-beam lithography system; Gate control capability; Metal-oxide-semiconductor high electron mobility transistors; Multi-mesa-channel; Photoelectrochemical etching method; Self-heating effect,,"Lee, C.-T.; Institute of Microelectronics, Taiwan; 電子郵件: ctlee@ee.ncku.edu.tw",English,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85121618636
"Huang Y.-C., Chuang R.W., Lin K.-M., Wu T.-C.",56226955900;7004974465;8931397300;57383716200;,Study the passivation characteristics of microwave annealing applied to APALD deposited Al2O3 thin film,2021,Coatings,11,12,1450,,,,,10.3390/coatings11121450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121592779&doi=10.3390%2fcoatings11121450&partnerID=40&md5=e4459ba48aab45038cc3b4144ec930b2,"In this study, a self-developed atmospheric pressure atomic layer deposition (APALD) system is used to deposit Al2 O3 passivation film, along with the use of precursor combinations of Al(CH3)3 /H2 O to improve its passivation characteristics through a short-time microwave post-annealing process. Comparing the unannealed and microwave-annealed samples whose temperature is controlled at 200–500? C, APALD non-vacuum deposited film can be realized with a higher film deposition rate, which is beneficial for increasing the production throughput while at the same time reducing the operating cost of vacuum equipment at hand. Since the microwave has a greater penetration depth during the process, the resultant thermal energy provided can be spread out evenly to the entire wafer, thereby achieving the effect of rapid annealing. The film thickness is subsequently analyzed by TEM, whereas the chemical composition is verified by EDS and XPS. The negative fixed charge and interface trap density are analyzed by the C-V measurement method. Finally, the three major indicators of τeff, SRV, and IVoc are analyzed by QSSPC to duly verify the excellent passivation performance. ? 2021 by the authors. Licensee MDPI, Basel, Switzerland.",APALD; Microwave annealing; Surface passivation,,"Chuang, R.W.; Institute of Microelectronics, Taiwan; 電子郵件: rwchuang@ee.ncku.edu.tw",English,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85121592779
"Liang T.-J.P., Hui S.-Y.R.",7202019208;7202831744;,Guest Editorial Special Issue on Recent Advancements of Power Electronics Technology and Applications,2021,IEEE Journal of Emerging and Selected Topics in Power Electronics,9,6,,6460,6461,,,10.1109/JESTPE.2021.3119476,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120739169&doi=10.1109%2fJESTPE.2021.3119476&partnerID=40&md5=7cc396b125314a493f62ae4082bf6b31,[無可用摘要],,,"Liang, T.-J.P.; Department of Electrical Engineering, Taiwan; 電子郵件: tjliang@mail.ncku.edu.tw",English,Editorial,Final,"All Open Access, Bronze",Scopus,2-s2.0-85120739169
"Liu I.-H., Lai C.-C., Li J.-S., Wu C.-C., Li C.-F., Liu C.-G.",55949898900;7403086010;7410065268;57203021669;12243552400;8521940300;,An emulation mechanism for PLC communication features,2021,"Journal of Robotics, Networking and Artificial Life",8,3,,175,179,,1,10.2991/jrnal.k.210922.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120682719&doi=10.2991%2fjrnal.k.210922.005&partnerID=40&md5=f8665503307450fa70bab30d814ed111,"In recent years, internet has widely used in different fields. To identify a specific device, we usually use the information which attains from network packets such as Internet Protocol (IP) address, Media Access Control (MAC) address and communication port, etc. However, using this kind of information is not enough to identify precisely. Furthermore, most of this kind of information could be imitated easily. Therefore, our research focuses on behavior of communication devices that can identify the devices precisely and create a communication system which is able to imitate the behavior of some specific devices. ? 2021 The Authors. Published by Atlantis Press International B.V.",Communication; Cyber security; Device identification; Industrial control system; Network,,"Liu, C.-G.; Department of Applied Informatics and Multimedia, No. 60, Sec. 1, Erren Rd., Rende Dist., Taiwan; 電子郵件: chgliu@mail.cnu.edu.tw",English,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85120682719
"Huang Y.-C., Chiang M.-H., Wang S.-J., Fossum J.G.",56903415800;7102873627;7410345365;7006416904;,TCAD-Based Assessment of the Lateral GAA Nanosheet Transistor for Future CMOS,2021,IEEE Transactions on Electron Devices,68,12,,6586,6591,,,10.1109/TED.2021.3124472,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118980555&doi=10.1109%2fTED.2021.3124472&partnerID=40&md5=48a417fcb265efdce23ce2d28305b517,"A physical assessment of the lateral gate-all-around (GAA) nanosheet transistor (NSFET) at the G40M16 node (gate length = 12 nm projected for 2028) of the newly defined beyond-Moore International Roadmap for Devices and Systems [5 nm node of the predecessor International Technology Roadmap for Semiconductors (ITRS)], supported by 3-D numerical device simulations and based on a proposed per-footprint scheme, is presented. The traditional evaluation scheme to gauge the performance of the transistor 'per effective channel width' is shown to be improper due to pervasive bulk inversion. Bulk inversion, along the width of the nanosheet and at its ends, obfuscates the dependence of current on sheet/channel width and undermines the presumed added benefit of short-channel effect (SCE) control in the GAA device. The NSFET provides a flexible sheet width, as opposed to that of the FinFET with discrete fins, but the allowed range of sheet width is limited due to significant parasitic capacitance at a relatively narrow width and degraded SCE control and increased resistance for desired wide width. Furthermore, the nanosheet (NS) device density is undermined at a narrow width, especially for decreasing pitch. The FinFET is shown to be a favorable alternative to the NSFET even at the G40M16 node. ? 1963-2012 IEEE.",Bulk inversion; device density; effective channel width; FinFET; footprint; gate capacitance; NSFET; S-D series resistance; short-channel effects (SCEs),Capacitance; Electric resistance; FinFET; Fins (heat exchange); Gallium; Gallium arsenide; III-V semiconductors; Nanosheets; Bulk inversion; Channel widths; Conductivity; Device density; Effective channel width; Footprint; Gate capacitance; Nanoscale device; NSFET; Resistance; S-D series resistance; Series resistances; Short-channel effect; Short-channel effect .; Threshold voltage,"Chiang, M.-H.; Department of Electrical Engineering, Taiwan; 電子郵件: mhchiang@mail.ncku.edu.tw
Fossum, J.G.; Department of Electrical and Computer Engineering, United States; 電子郵件: fossum@tec.ufl.edu",English,Article,Final,,Scopus,2-s2.0-85118980555
"Niu J.-S., Liu I.-P., Lee C., Lin K.-W., Tsai J.-H., Liu W.-C.",57205061940;56473345000;57204957372;57001884000;7403610784;36072673600;,Study of a Highly Sensitive Formaldehyde Sensor Prepared with a Tungsten Trioxide Thin Film and Gold Nanoparticles,2021,IEEE Transactions on Electron Devices,68,12,,6422,6429,,,10.1109/TED.2021.3120696,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118583836&doi=10.1109%2fTED.2021.3120696&partnerID=40&md5=1f06ab2ab1ebf6c6a9d3d9c7b47ebae1,"A new gold (Au) nanoparticle (NP)/tungsten trioxide (WO3)-based chemoresistive formaldehyde gas sensor is fabricated and reported. The WO3 thin film and Au NPs are prepared by radio frequency (RF) sputtering and rapid thermal evaporation (RTE) approaches, respectively. The utilized Au NPs successfully elevate the surface area/volume ( ${S}_{A}/{V}$ ) ratio and improve corresponding sensing performance. Experimentally, the proposed Au NP/WO3 sensor shows a very high sensing response of 1303.5 and a response (recovery) time of 16 s (16 s) under introduced 20 ppm formaldehyde (HCHO)/air gas at 225 °C. This value is remarkably higher than those of previous reports. In addition, a very low detection content of 40 ppb HCHO/air is obtained, revealing that a widespread detection range of formaldehyde concentration can be acquired for the proposed sensor. To expand the application ability in wireless sensing, a gray algorithm GM(1, 1) model incorporating the first-order differential approach is used to substantially diminish the transmission data, increase the transmission efficiency, and improve the accuracy of the response data. The formaldehyde sensor in this study exhibits advantages including a simple structure, ease of manufacturing, relatively lower cost, practical smart sensing ability, and wireless transmission applications. ? 1963-2012 IEEE.","Au NP; formaldehyde; GM(1, 1); gray algorithm; sensing response; WO?","Formaldehyde; Radio waves; Temperature measurement; Temperature sensors; Thermal evaporation; Thin films; Au nanoparticle; Formaldehyde sensor; GM(1,1); Gold; Gold nanoparticle; Gray algorithm; Radiofrequencies; Sensing response; Tungsten trioxide thin film; WO&#x2083;; Gold nanoparticles","Liu, W.-C.; Department of Electrical Engineering, Taiwan; 電子郵件: wcliu@ncku.edu.tw
Lin, K.-W.; Department of Computer Science and Information Engineering, Taiwan; 電子郵件: kwlin@cyut.edu.tw",English,Article,Final,,Scopus,2-s2.0-85118583836
