作者,作者身分,"標題	",年份,來源出版物名稱,卷,期,論文編號,起始頁碼,結束頁碼,頁碼計數,被引用文獻,DOI,連結,摘要,作者關鍵字,索引關鍵字,通訊地址,原始文獻語言,文獻類型,出版階段,開放取用,來源出版物,EID
"Liu I.-H., Lai C.-C., Li J.-S., Wu C.-C., Li C.-F., Liu C.-G.",55949898900;7403086010;7410065268;57203021669;12243552400;8521940300;,An emulation mechanism for PLC communication features,2021,"Journal of Robotics, Networking and Artificial Life",8,3,,175,179,,1,10.2991/jrnal.k.210922.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120682719&doi=10.2991%2fjrnal.k.210922.005&partnerID=40&md5=f8665503307450fa70bab30d814ed111,"In recent years, internet has widely used in different fields. To identify a specific device, we usually use the information which attains from network packets such as Internet Protocol (IP) address, Media Access Control (MAC) address and communication port, etc. However, using this kind of information is not enough to identify precisely. Furthermore, most of this kind of information could be imitated easily. Therefore, our research focuses on behavior of communication devices that can identify the devices precisely and create a communication system which is able to imitate the behavior of some specific devices. ? 2021 The Authors. Published by Atlantis Press International B.V.",Communication; Cyber security; Device identification; Industrial control system; Network,,"Liu, C.-G.; Department of Applied Informatics and Multimedia, No. 60, Sec. 1, Erren Rd., Rende Dist., Taiwan; 電子郵件: chgliu@mail.cnu.edu.tw",English,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85120682719
"Lin F., Hsieh H.-P.",57205118809;36482807200;,Conntrans: A Two-Stage Concentric Annealing Approach for Multi-Criteria Distributed Competitive Stationary Resource Searching,2021,GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,,,,163,174,,1,10.1145/3474717.3483926,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119181260&doi=10.1145%2f3474717.3483926&partnerID=40&md5=db5c9fffc6721881cac7f852c20a63e0,"Transportation between satellite cities or inside the city center has always been a crucial factor in contributing to a better quality of life. This paper focuses on a multi-criteria distributed competitive route planning for parking slot cruising in regions where neither real-time nor historical availability of parking slots is accessible. An inference-than-planning framework is proposed for solving the parking slot searching using a zero-information distributed model with an availability inference for parking slots in areas with no sensor coverage. Meanwhile, a proposed Conntrans algorithm is suggested as a two-stage structure with three relaxing policies: adjacent cruising, on-orbital annealing, and orbital transitioning. The evaluation is conducted based on the simulation in a publicly accessible real-world parking data from SFPark in San Francisco; the area is divided into 3 separated regions with different urban characteristics. Overall results show that the proposed availability inference model can retrieve decent performance. Furthermore, Conntrans is able to outperform baselines and state-of-the-arts in overall score by at most 77% with a success rate at around 97% and maintains the quality of solutions under various circumstances. ? 2021 ACM.",Competitive searching; Constrained route planning; Multi-criteria optimization; Parking slot cruising; Spatio-temporal inference,Constrained optimization; Orbits; Competitive searching; Constrained route planning; Multi-criteria; Multi-criteria optimisation; Multi-Criterion; Multi-criterion optimization; Orbitals; Parking slot cruising; Route planning; Spatio-temporal inference; Multiobjective optimization,,English,Conference Paper,Final,,Scopus,2-s2.0-85119181260
"Wu I.-Y., Lin F., Hsieh H.-P.",57340631300;57205118809;36482807200;,Dual-Attention Multi-Scale Graph Convolutional Networks for Highway Accident Delay Time Prediction,2021,GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,,,,554,563,,,10.1145/3474717.3484259,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119176996&doi=10.1145%2f3474717.3484259&partnerID=40&md5=30d4e7c3bab9b203457e2b0c7d387894,"Traffic-related forecasting plays a critical role in determining transportation policy, unlike traditional approaches, which can only make decisions based on statistical results or historical experience. Through machine learning, we are able to capture the potential interactions between urban dynamics and find their mutual interactions in a spatial context. However, despite a plethora of traffic-related studies, few works have explored predicting the impact of congestion. Therefore, this paper focuses on predicting how a car accident leads to traffic congestion, especially the length of time it takes for the congestion to occur. Accordingly, we propose a novel model named Dual-Attention Multi-Scale Graph Convolutional Networks (DAMGNet) to address this issue. In this proposed model, heterogeneous data such as accident information, urban dynamics, and various highway network characteristics are considered and combined. Next, the context encoder encodes the accident data, and the spatial encoder captures the hidden features between multi-scale Graph Convolutional Networks (GCNs). With our designed dual attention mechanism, the DAMGNet model is able to effectively learn the correlation between features. The evaluations conducted on a real-world dataset prove that our DAMGNet has a significant improvement in RMSE and MAE over other comparative methods. ? 2021 ACM.",Delay Time Prediction; Dual attention; Multi-scale GCN; Traffic accidents,Convolution; Convolutional neural networks; Graph neural networks; Highway accidents; Learning systems; Motor transportation; Signal encoding; Traffic congestion; Convolutional networks; Delay Time; Delay time prediction; Dual attention; Multi-scale graph convolutional network; Multi-scales; Time predictions; Traffic-related; Transportation policies; Urban dynamics; Forecasting,"Hsieh, H.-P.; Department of Electrical Engineering, Taiwan; 電子郵件: hphsieh@mail.ncku.edu.tw",English,Conference Paper,Final,,Scopus,2-s2.0-85119176996
"Yang W.-J., Chou H.-J., Chung P.-C.",57203309263;57398316000;7201442829;,Fast Stereo Matching with Recursive Refinement and Depth Upsizingfor Estimation of High Resolution Depth,2021,Journal of Information Science and Engineering,37,6,,1379,1403,,,10.6688/JISE.202111_37(6).0011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122320319&doi=10.6688%2fJISE.202111_37%286%29.0011&partnerID=40&md5=b56f634abe853487c97af65e5e5ab124,"In this paper, a fast and precise stereo matching system, which is mainly composed of adaptive stereo matching, recursive refinement and depth upsizing subsystems, is proposed to estimate high resolution depth maps. The adaptive stereo matching subsys-tem, which adaptively uses color gradient, color intensity and texture census costs, can reduce the most of computation and achieve good primary depth maps. The recursive re-finement subsystem consists of median filtering, left-right check, hole filling, and bilat-eral filtering functions. The refinement subsystem is performed recursively to reduce the most errors occurred in occlusion regions such that we can obtain high-precision depth maps. Finally, the depth upsizing subsystem by referring original high-resolution images performs depth value upscaling, texture-selected interpolation, and weighted depth vot-ing processes to finally obtain the high-precision and high-resolution depth maps. To evaluate the proposed algorithms in three subsystems, the performances of the proposed stereo matching system are exhibited in step-by-step approaches. In comparison of the existing methods, the accuracy performance and computation time of the proposed stereo matching system are finally demonstrated. For future 3D ultra-high-resolution videos, the proposed stereo matching system with low computation will be a good solution to extract high-precision and high-resolution depth information. ? 2021 Institute of Information Science. All rights reserved.",Computer vision; Disparity estimation; High-resolution depth map; Recursive refinement; Stereo im-age processing; Stereo vision,Color matching; Computer vision; Stereo image processing; Stereo vision; Textures; Depthmap; Disparity estimations; High-precision; High-resolution depth; High-resolution depth map; Matching system; Performance; Recursive refinement; Stereo im-age processing; Stereo-matching; Median filters,,English,Article,Final,,Scopus,2-s2.0-85122320319
"Lin H.-T., Liang Y.-Y.",26643556600;57226879453;,A PUF-based secure wake-up scheme for Internet of Things,2021,Computers and Security,110,,102415,,,,,10.1016/j.cose.2021.102415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113256655&doi=10.1016%2fj.cose.2021.102415&partnerID=40&md5=c3be3b1ad56cff102499076f159f3a86,"Internet of Things (IoT) are typically powered by limited-capacity batteries. Thus, reducing energy consumption is a critical issue for the success of IoT. Recently, Wake-up Radios (WuRs) play a key role in minimizing the energy consumption by providing wake-up calls to IoT devices which are currently in a low-power sleep mode to conserve energy. On receiving a pre-defined pattern called a Wake-up Token (WuT) over the WuR, the IoT device wakes up in order to process information and/or conduct communications. However, WuR-based IoT devices are susceptible to malicious attacks, such as Denial-of-Sleep attacks designed to drain the device of its energy, or cloning attacks designed to impersonate a legitimate IoT device and perform various nefarious activities. To address these problems, the present study proposes a novel one-time wake-up token using the Physical Unclonable Function (PUF). In addition, to prevent the WuT from becoming desynchronized thereby resulting in a connection loss, a WuT resynchronization scheme is designed to maintain a constant state of synchronization between the WuTs of the gateway and the IoT devices, respectively. Finally, the proposed schemes are extended to support group wake-up and resynchronization procedures, respectively, in order to enhance the communication efficiency and improve the energy conservation. The correctness of the proposed schemes is verified through AUTLOG analysis. It has been shown that the proposed schemes are secure against various types of attacks and consume significantly less energy than existing mechanisms in waking up an IoT device. ? 2021",Denial-of-sleep attack; Group wake-up; Internet of Things; Physically unclonable function; Wake-up radio,Cryptography; Energy conservation; Energy utilization; Gateways (computer networks); Network security; Sleep research; Wakes; Critical issues; Denial-of-sleep attack; Energy; Group wake-up; Limited capacity; Physically unclonable functions; Reducing energy consumption; Resynchronization; Wake up; Wake-up radio; Internet of things,"Lin, H.-T.; Department of Electrical Engineering, 1 University Road, Taiwan; 電子郵件: htlin@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85113256655
"Bhooanusas N., Sou S.-I.",55929416000;55898483800;,Performance modeling of multipath mobile data offloading in cellular/WiFi networks with bandwidth uncertainty,2021,Computer Networks,197,,108351,,,,,10.1016/j.comnet.2021.108351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111258218&doi=10.1016%2fj.comnet.2021.108351&partnerID=40&md5=71a8fd41f470bfdeb2d813948b66936d,"Mobile data offloading is one of the most effective approaches for improving the Quality of Service (QoS) of mobile users. Through this method, the mobile data traffic load over a cellular network is mitigated by offloading some of the traffic to an alternative path; usually a WiFi network. Most previous studies on WiFi offloading have assumed that the data traffic is offloaded to a path with constant bandwidth. However, in real-world applications, it is generally impossible to perform data transmission at a constant rate through WiFi over the entire offloading process, Hence, one of the most challenging issues in analyzing the performance of mobile data offloading is that of evaluating the effects of bandwidth uncertainty on the actual transmission rate. Accordingly, the present study proposes an analytical model for predicting the performance of multipath data offloading over WiFi network with bandwidth uncertainty. The theoretical results are validated by means of numerical simulations. The effectiveness of the proposed model is then further investigated by comparing the QoS metrics of the data offloading process with those obtained in a previous study on mobile data offloading under the assumption of a constant bandwidth. Overall, as the WiFi connection times are highly larger than the WiFi disconnection times, our model removes estimated errors in the baseline model by 8.7% and 6.7% in deadline miss ratio, by 23.2% and 14.9% in average offloading volume, when we consider two and three varying WiFi bandwidth respectively. The results show that the proposed method provides mobile operators with an effective framework for maintaining the QoS level of mobile data offloading in real-world networks characterized by WiFi bandwidth uncertainty. ? 2021 Elsevier B.V.",Bandwidth uncertainty; LTE; MPTCP; Performance modeling; WiFi offloading,Mobile telecommunication systems; Quality of service; Uncertainty analysis; Wi-Fi; Wireless local area networks (WLAN); Bandwidth uncertainty; LTE; Mobile data offloading; MPTCP; Multipath; Performance Modeling; Quality-of-service; Uncertainty; Wi Fi networks; Wi-Fi offloading; Bandwidth,"Sou, S.-I.; Department of Electrical Engineering, Taiwan; 電子郵件: sisou@mail.ncku.edu.tw",English,Article,Final,,Scopus,2-s2.0-85111258218
"Li H., Huang T.-H., Chuang H.-R.",57315229700;7404962585;7103110709;,88-96 GHz VCO with Inductance-Compensated Capacitive Source Degeneration in 90-nm CMOS,2021,"2021 IEEE International Symposium on Radio-Frequency Integration Technology, RFIT 2021",,,,,,,,10.1109/RFIT52905.2021.9565247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118150519&doi=10.1109%2fRFIT52905.2021.9565247&partnerID=40&md5=ce77542d8fa199f8099bada43f346a30,"A 94-GHz voltage-controlled oscillator (VCO) using inductance-compensated capacitive source degeneration (IC-CSD) technique to widen the tuning range is presented. This work has been implemented in 90-nm CMOS technology with a chip area of 0.257 mm2. The measured output frequency of the VCO covers a range of 7.99 GHz from 87.99 to 95.98 GHz (8.7% tuning range) and delivers +5.2-dBm maximum output power at 94 GHz. At 94 GHz, the measured phase noises at 1-MHz and 10-MHz frequency offsets are-71.72 and-96.51 dBc/Hz, respectively. The total power dissipation is 85.08 mW while the VCO core and the drive amplifier draw 30.36 mW and 54.72 mW from 1.2-V and 2.4-V power supplies, respectively. ? 2021 IEEE.",94 GHz; capacitive source degeneration (CSD); drive amplifier (DA); forward body-biasing (FBB).; inductcance-compensated; millimeter-wave (mm-wave); voltage-controlled oscillator (VCO); W-band,Circuit oscillations; CMOS integrated circuits; Frequency allocation; Inductance; Millimeter waves; Phase noise; Tuning; Variable frequency oscillators; 94 GHz; Capacitive source degeneration; Drive amplifier; Drive amplifiers; Forward body biasing; Forward body-biasing .; Inductcance-compensated; Millimeter-wave; Source degeneration; Voltage-controled oscillator; W bands; Oscillistors,,English,Conference Paper,Final,,Scopus,2-s2.0-85118150519
"Liu S.-H., Hung C.-M., Chuang H.-R., Huang T.-H.",57315840100;57315439600;7103110709;7404962585;,A W-band Push-Push VCO with Gm-Boosted Colpitts Topology in 90-nm CMOS Technology,2021,"2021 IEEE International Symposium on Radio-Frequency Integration Technology, RFIT 2021",,,,,,,,10.1109/RFIT52905.2021.9565295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118120860&doi=10.1109%2fRFIT52905.2021.9565295&partnerID=40&md5=fd623e1ec99f695815b9492e636a715d,"This paper presents a W-band push-push VCO design and implementation in 90-nm CMOS technology, which is expected to be used for a 94-GHz RF transceiver. The proposed VCO adopts a differential Colpitts topology with the drain to source (DS) feedback operating at fundamental frequency. This VCO is biased by a current-switching transistor pair with dynamic forward-body biasing technique. Thus, the negative conductance of VCO can be enhanced for reliable start-up. A greater W-band signal can be obtained by a gm-boosted doubler. In addition, the current-reuse technique realizes low power design. The center frequency of proposed VCO is 90.1 GHz with the tuning range of 2.24 %. This VCO provides the highest frequency of 91.11 GHz and the corresponding output power of-0.2 dBm. The VCO consumes 25.43 mW from a 1.8-V supply and exhibits the phase noise of-109.22 dBc/Hz and FOM of-174.3 at 10 MHz offset. ? 2021 IEEE.",CMOS; differential Colpitts VCO; forward body-biasing (FBB); frequency doubler; gm enhancement; millimeter-wave (mm-wave); push-push pair; W-band,CMOS integrated circuits; Frequency doublers; Integrated circuit design; Radio transceivers; Topology; Variable frequency oscillators; CMOS; Colpitts VCO; Differential colpitts VCO; Forward body biasing; Forward body-biasing; Gm enhancement; Millimeter-wave; Push-push pairs; Push-push VCO; W bands; Millimeter waves,,English,Conference Paper,Final,,Scopus,2-s2.0-85118120860
"Lai B.-H., Hsieh H.-P.",57258489900;36482807200;,Object detection on embedded systems for traffic in asian countries,2021,ICMR 2021 - Proceedings of the 2021 International Conference on Multimedia Retrieval,,,,540,544,,,10.1145/3460426.3463661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114877651&doi=10.1145%2f3460426.3463661&partnerID=40&md5=1e708456bb4fa9452e7b813777ab8b12,"In this paper, we present a novel embedded deep learning solution for traffic object detection. Considering the memory, computing speed, and environmental requirements in the MediaTek Dimensity 1000 Series embedded device, it is worth mentioning that we are the first one to re-implement and propose an efficient object detection algorithm based on You Only Look Once version 5 (YOLOv5) to address this issue in TensorFlow framework. The backbone of our network is mainly constructed by Cross Stage Partial (CSP) modules, which significantly boost the accuracy of our model and keep the model lightweight. Besides, to enhance the prediction effectiveness, we propose to combine the official training dataset and several external open datasets as our comprehensive training data. We also adopt multiple data augmentation techniques in the training phase, making the model learn a stronger feature extraction ability for various object categories. According to the results of extensive experiments and the final competition scores, our solution can get a not bad performance under the condition of low parameters and complexity. Our team is the third-place winner in Embedded Deep Learning Object Detection Model Compression Competition in ACM International Conference on Multimedia Retrieval 2021. ? 2021 ACM.",Image augmentation; Objection detection; Yolo,Deep learning; Embedded systems; Object recognition; Asian countries; Detection models; Efficient object detections; Embedded device; Environmental requirement; Multimedia Retrieval; Object categories; Training dataset; Object detection,"Hsieh, H.-P.; Department of Electrical Engineering, Taiwan; 電子郵件: hphsieh@mail.ncku.edu.tw",English,Conference Paper,Final,,Scopus,2-s2.0-85114877651
"Lin S.-F., Chang M.-X.",57288720800;7404504213;,Cooperative Communications Based on Harmonic Means of Channel Responses,2021,"17th IEEE VTS Asia Pacific Wireless Communications Symposium, APWCS 2021 - Proceedings",,,,,,,,10.1109/APWCS50173.2021.9548722,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116691970&doi=10.1109%2fAPWCS50173.2021.9548722&partnerID=40&md5=45f88eab4ee97fa7fcf229fd95c89400,"In the cooperative communication, the destination node combines the received signals from source and relay nodes such that a better performance can be achieved due to diversity. However, the channel responses from the source to relay nodes also affect the combination effect at the destination. In this work, we apply the harmonic mean of the channel responses between source-relay and relay-destination to replace the original relay-destination channel response. The harmonic mean operation can reflect the overall effects of these two channels. With this we observe that the error rates in the destination can be reduced. We consider the schemes of maximum ratio combining (MRC) and the selection combining (SC) and the hybrid types. In these schemes, we all observe that with the harmonic mean of channel responses, better performance can be achieved. ? 2021 IEEE.",,Harmonic analysis; Channel response; Combination effects; Destination nodes; Error rate; Harmonic mean; Performance; Received signals; Relay node; Source nodes; Two channel; Cooperative communication,,English,Conference Paper,Final,,Scopus,2-s2.0-85116691970
